| Record ID | Field Name     | Error Type | Actual Value | Recommended Value | Confidence Score | Remarks/Reason for Recommendation                                     | Notes for Manual Reviewers                           |
|-----------|----------------|------------|--------------|-------------------|------------------|------------------------------------------------------------------------|------------------------------------------------------|
| 60        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 61        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 62        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 63        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 64        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 65        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 66        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 67        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 68        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 69        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 70        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 71        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 72        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 73        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 74        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 75        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 76        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 77        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 78        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 79        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 80        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 81        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 82        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 83        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 84        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 85        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 86        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 87        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 88        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for United Arab Emirates found.         | Review KB CorrectionRules.xlsx for UAE area codes.    |
| 89        | Area/City Code | E          | (blank)      | AO000             | High             | Per KB for Angola: “No region codes”; use country default AO000.       | CorrectionRules.xlsx: Angola row, Area/City Code.     |
| 90        | Area/City Code | E          | (blank)      | AO000             | High             | Per KB for Angola: “No region codes”; use country default AO000.       | CorrectionRules.xlsx: Angola row, Area/City Code.     |
| 91        | Area/City Code | E          | (blank)      |                   | No Score         | No explicit KB rule or default for Austria found.                     | Review KB CorrectionRules.xlsx for Austria area codes.|
